Unnamed: 0,z,press,temp,rmix,den,o3den
0,0,0.0,101300.0,294.0,0.013999999999999999,1.1910001000000001,6e-08
1,1,1000.0,90200.0,290.0,0.009300001,1.08,6e-08
2,2,2000.0,80200.0,285.0,0.005850000300000001,0.9757001000000001,6e-08
3,3,3000.0,71000.0,279.0,0.0034300003000000004,0.88460004,6.2000005e-08
4,4,4000.0,62800.0,273.0,0.0018900001,0.79980004,6.4000005e-08
5,5,5000.0,55400.0,267.0,0.001,0.72110003,6.6000005e-08
6,6,6000.0,48700.0,261.0,0.00060900004,0.64870006,6.900000000000001e-08
7,7,7000.0,42600.0,255.0,0.000371,0.583,7.500000999999999e-08
8,8,8000.0,37200.0,248.0,0.00021,0.52250004,7.9e-08
9,9,9000.0,32400.0,242.0,0.000118,0.46690002,8.600000999999999e-08
10,10,10000.0,28100.0,235.0,6.43e-05,0.41590002,9.000001e-08
11,11,11000.0,24300.0,229.0,2.1900001000000003e-05,0.3693,1.1000000999999999e-07
12,12,12000.0,20900.0,222.0,6.460000300000001e-06,0.3269,1.2e-07
13,13,13000.0,17900.0,216.0,1.6600001e-06,0.28820002,1.5000001999999999e-07
14,14,14000.0,15300.0,216.0,9.95e-07,0.2464,1.8000001e-07
15,15,15000.0,13000.0,216.0,8.420000999999999e-07,0.2104,1.9000001000000002e-07
16,16,16000.0,11100.0,216.0,7.19e-07,0.1797,2.1000001e-07
17,17,17000.0,9500.0,216.0,6.1400004e-07,0.1535,2.4e-07
18,18,18000.0,8119.9995,216.0,5.2200005e-07,0.1305,2.8000002000000004e-07
19,19,19000.0,6950.0,217.0,4.4400002e-07,0.11100001,3.2e-07
20,20,20000.0,5950.0,218.0,3.7799999999999997e-07,0.09452999999999999,3.4e-07
21,21,21000.0,5100.0,219.0,3.2200003e-07,0.08056,3.6000003e-07
22,22,22000.0,4370.0,220.0,2.7500002000000003e-07,0.068720005,3.6000003e-07
23,23,23000.0,3759.9998,222.0,2.3500002e-07,0.05867000000000001,3.4e-07
24,24,24000.0,3220.0,223.0,2.01e-07,0.05014,3.2e-07
25,25,25000.0,2770.0,224.0,1.7200001000000001e-07,0.042880002,3.0000003999999997e-07
26,26,30000.0,1320.0,234.0,5.2900003e-08,0.013220001,2e-07
27,27,35000.0,652.0,245.0,2.6100002e-08,0.0065190005,9.200001e-08
28,28,40000.0,333.0,258.0,1.3300001000000002e-08,0.0033299999999999996,4.0999999999999997e-08
29,29,45000.0,176.0,270.0,7.03e-09,0.0017570001000000001,1.3e-08
30,30,50000.0,95.1,276.0,3.8000003e-09,0.0009512,4.3000004e-09
31,31,70000.0,6.7000003,218.0,2.68e-10,6.7060006e-05,8.6000006e-11
32,32,100000.0,0.1,210.0,2e-12,5.0000006e-07,4.2999999999999993e-14
