Unnamed: 0,z,press,temp,rmix,den,o3den
0,0,0.0,101000.0,287.0,0.0091,1.22,4.9e-08
1,1,1000.0,89600.0,282.0,0.006,1.11,5.4e-08
2,2,2000.0,79290.0,276.0,0.0042,0.9971,5.6000005000000003e-08
3,3,3000.0,70000.0,271.0,0.0026900002,0.8985,5.8000004999999995e-08
4,4,4000.0,61600.0,266.0,0.0016500001,0.80770004,6e-08
5,5,5000.0,54100.0,260.0,0.000973,0.72440004,6.4000005e-08
6,6,6000.0,47300.0,253.0,0.000543,0.65190005,7.1e-08
7,7,7000.0,41300.0,246.0,0.00029,0.5849001,7.500000999999999e-08
8,8,8000.0,35900.0,239.0,0.00013000000000000002,0.5231,7.9e-08
9,9,9000.0,31070.002,232.0,4.18e-05,0.4663,1.1000000999999999e-07
10,10,10000.0,26770.002,225.0,1.75e-05,0.41420004,1.3e-07
11,11,11000.0,23000.0,225.0,8.56e-06,0.35590002,1.8000001e-07
12,12,12000.0,19770.0,225.0,4.2000000000000004e-06,0.3059,2.1000001e-07
13,13,13000.0,17000.0,225.0,2.0600003e-06,0.263,2.6e-07
14,14,14000.0,14600.0,225.0,1.02e-06,0.22600001,2.8000002000000004e-07
15,15,15000.0,12500.0,225.0,7.77e-07,0.19430001,3.2e-07
16,16,16000.0,10801.0,225.0,6.6800004e-07,0.16710001,3.4e-07
17,17,17000.0,9280.0,225.0,5.74e-07,0.14360002,3.9000003e-07
18,18,18000.0,7980.0005,225.0,4.94e-07,0.12350000400000001,4.1000004e-07
19,19,19000.0,6860.0,225.0,4.3300003000000003e-07,0.1062,4.1000004e-07
20,20,20000.0,5890.0,225.0,3.6500003e-07,0.091280006,3.9000003e-07
21,21,21000.0,5070.0,225.0,3.1400003000000004e-07,0.078490004,3.6000003e-07
22,22,22000.0,4360.0,225.0,2.7000002000000003e-07,0.0675,3.2e-07
23,23,23000.0,3750.0,225.0,2.3200001999999998e-07,0.058050002999999996,3.0000003999999997e-07
24,24,24000.0,3227.0,226.0,1.9900001e-07,0.049630005,2.8000002000000004e-07
25,25,25000.0,2780.0,228.0,1.7e-07,0.042470004000000006,2.6e-07
26,26,30000.0,1340.0,235.0,5.3500002999999994e-08,0.013380000000000001,1.4000001000000002e-07
27,27,35000.0,661.0,247.0,2.65e-08,0.006614,9.200001e-08
28,28,40000.0,340.0,262.0,1.3600000000000001e-08,0.0034040003000000004,4.0999999999999997e-08
29,29,45000.0,181.0,274.0,7.27e-09,0.0018170001,1.3e-08
30,30,50000.0,98.7,277.0,3.9500003e-09,0.0009868001,4.3000004e-09
31,31,70000.0,7.1000004,216.0,2.83e-10,7.0710004e-05,8.6000006e-11
32,32,100000.0,0.1,210.0,2e-12,5.0000006e-07,4.2999999999999993e-14
