Unnamed: 0,z,press,temp,rmix,den,o3den
0,0,0.0,101300.0,257.1,0.0012,1.3720001,4.0999999999999997e-08
1,1,1000.0,88780.0,259.1,0.0012,1.1930001000000001,4.0999999999999997e-08
2,2,2000.0,77750.0,255.9,0.00103,1.0580001,4.0999999999999997e-08
3,3,3000.0,67980.0,252.7,0.00074700004,0.9366,4.3000004e-08
4,4,4000.0,59320.0,247.7,0.000459,0.83390003,4.5000004e-08
5,5,5000.0,51580.0,240.9,0.000234,0.74570006,4.7000004000000005e-08
6,6,6000.0,44670.0,234.1,9.779999999999999e-05,0.6646,4.9e-08
7,7,7000.0,38530.0,227.3,3.2900003e-05,0.59040004,7.1e-08
8,8,8000.0,33080.0,220.6,1.32000005e-05,0.5226,9.000001e-08
9,9,9000.0,28290.0,217.2,8.370001e-06,0.45380002,1.6e-07
10,10,10000.0,24180.0,217.2,5.5100004e-06,0.38790002,2.4e-07
11,11,11000.0,20670.0,217.2,3.7900002e-06,0.33150002,3.2e-07
12,12,12000.0,17660.0,217.2,2.5800002e-06,0.2834,4.3e-07
13,13,13000.0,15100.0,217.2,1.6700001e-06,0.2422,4.7000003e-07
14,14,14000.0,12910.001,217.2,1.1000001e-06,0.20710002,4.9000005e-07
15,15,15000.0,11030.0,217.2,7.3300004e-07,0.177,5.6000005e-07
16,16,16000.0,9431.0,216.6,6.070000600000001e-07,0.1517,6.2000004e-07
17,17,17000.0,8058.0,216.0,5.2e-07,0.13000001,6.2000004e-07
18,18,18000.0,6882.0,215.4,4.4500003999999996e-07,0.11130001,6.2000004e-07
19,19,19000.0,5875.0,214.8,3.8100000000000004e-07,0.095290005,6.000000999999999e-07
20,20,20000.0,5014.0,214.1,3.2600002000000005e-07,0.08155001,5.6000005e-07
21,21,21000.0,4277.0,213.6,2.79e-07,0.06976,5.1e-07
22,22,22000.0,3647.0,213.0,2.39e-07,0.059660002999999996,4.7000003e-07
23,23,23000.0,3109.0,212.4,2.0399999999999997e-07,0.051000002999999995,4.3e-07
24,24,24000.0,2649.0,211.8,1.7400001e-07,0.043580003,3.6000003e-07
25,25,25000.0,2256.0,211.2,1.49e-07,0.037219999999999996,3.2e-07
26,26,30000.0,1020.0,216.0,6.580000000000001e-08,0.01645,1.5000001999999999e-07
27,27,35000.0,470.10004000000004,222.2,2.9500002e-08,0.007368,9.200001e-08
28,28,40000.0,224.3,234.7,1.3300001000000002e-08,0.0033299999999999996,4.0999999999999997e-08
29,29,45000.0,111.3,247.0,6.28e-09,0.0015690001000000001,1.3e-08
30,30,50000.0,57.200005000000004,259.3,3.0700003e-09,0.0007682,4.3000004e-09
31,31,70000.0,4.0,245.7,2.2800002000000003e-10,5.695e-05,8.6000006e-11
32,32,100000.0,0.1,210.0,2e-12,5.0000006e-07,4.2999999999999993e-14
